Cell_ID,AP12AHPDepthPercentChangeTest,AP12AmplitudeChangePercentTest,AP12AmplitudeDropTest,AP12HalfWidthChangePercentTest,AP12RateOfChangePeakToTroughPercentChangeTest,AP1AHPDepthTest,AP1AmplitudeTest,AP1DelayMeanStrongStimTest,AP1DelayMeanTest,AP1DelaySDStrongStimTest,AP1DelaySDTest,AP1RateOfChangePeakToTroughTest,AP1SSAmplitudeChangeTest,AP1WidthHalfHeightTest,AP1WidthPeakToTroughTest,AP2AHPDepthTest,AP2AmplitudeTest,AP2DelayMeanStrongStimTest,AP2DelayMeanTest,AP2DelaySDStrongStimTest,AP2DelaySDTest,AP2RateOfChangePeakToTroughTest,AP2WidthHalfHeightTest,AP2WidthPeakToTroughTest,AccommodationAtSSMeanTest,AccommodationRateMeanAtSSTest,AccommodationRateToSSTest,Burst1ISIMeanStrongStimTest,Burst1ISIMeanTest,Burst1ISISDStrongStimTest,Burst1ISISDTest,ISIBurstMeanChangeTest,ISICVTest,ISIMedianTest,InitialAccommodationMeanTest,InputResistanceTest,SSAccommodationMeanTest,SpikeRateStrongStimTest
NMLCL000090,-0.027360545738250166,-0.04452974366221338,0.30234412597008703,-0.06446855771059752,0.05557970944495931,1.3446323877162443,0.914055047907536,-0.3201957309926986,-0.2852634626926599,-0.12059078332792827,-0.12059078332792827,0.01881014268446573,0.25237987842693543,-0.12588989994557445,-0.27604669483820615,1.4389047592798512,0.8748723707610793,-0.23980829523223776,-0.2535142721023453,-0.1720165140865197,-0.17146165315955056,-0.08181141699508425,-0.10056524899802276,-0.2285821947014632,-1.1842947718060262,-0.05761123969116986,-0.04775945133577871,-0.1097173075877115,1.093860287769653,-0.15436027506944197,2.206006355606306,0.7142426141779626,-0.07446426691935505,1.1565606399276498,-0.024038553372877875,2.0289131712724178,-0.03212395295754756,-0.5545799837595426
NMLCL000091,-0.0312828966962309,-0.04444438686780148,0.21662077382845382,-0.05815123943209301,0.056392440594581025,1.3145156729411314,0.9104691231705032,-0.31905832985316096,-0.2747211867057967,-0.12059078332792827,-0.12059078332792827,0.022556976171591355,0.209210153837949,-0.1332422687871852,-0.2560654038248176,1.3584508311685866,0.891451986676884,-0.2379536948957027,-0.2508193931027986,-0.1720165140865197,-0.17146165315955056,-0.06488709060321798,-0.10056524899802269,-0.20714182599059008,-1.1813744954548928,-0.05761123969116986,-0.048443297778020325,-0.10924510814292397,1.0449898353246165,-0.15436027506944197,2.206006355606306,0.6839528371183193,-0.0744451297819038,1.1446050506970513,-0.024038553372877875,1.9256199206324998,-0.03212395295754756,-0.5545799837595426
NMLCL000093,-0.03776604917588913,-0.044069854363433796,-0.15816798703303142,-0.061381686279055575,0.23310489313128735,0.6507100289509413,0.6137365912423991,-0.29624711811022,-0.025957480757765588,-0.12059078332792827,-0.12059078332792827,0.030399361630970897,-0.32289260527505315,-0.09280424015832558,-0.26272583416261736,0.6186843940508958,0.6766253492716735,-0.1944958978206909,-0.10612888972718293,-0.1720165140865197,-0.17146165315955056,-0.03696572490800688,-0.06114912302962895,-0.21883657256016728,-1.1097111024448318,-0.05759481285330483,-0.04262421799329247,-0.06090368998275678,0.15743936027442437,-0.15436027506944197,-0.1761449941738876,-0.02318239995750541,-0.07494679948060305,0.9077637637431741,-0.14646161143168032,0.07216843993442189,-0.1334655442390139,-0.5259200410086173
NMLCL000095,-0.029549549372421748,-0.04427543819281901,0.016879585078578997,-0.05894468251731185,-0.3597508616452618,0.5915071309180266,0.5599458897848381,-0.30351384761281897,-0.14634347105934253,-0.12059078332792827,-0.12059078332792827,0.05543744227469305,0.029836098673120974,-0.08177568689590937,0.0741016429201679,0.6326470151669699,0.5802954571826012,-0.21474612852231192,-0.1932959759124932,-0.1720165140865197,-0.17146165315955056,0.09269009700917528,-0.04538267264227144,0.21191992608551033,-1.2684250770131862,-0.05759811324763725,-0.021704656780121154,-0.09549229931347361,0.08291056127315012,-0.15436027506944197,-0.1761449941738876,0.014918788482116856,-0.07612872451281527,0.9291561088649828,-0.024038553372877875,0.15024707840792775,-0.2348071355204802,-0.54025001238408
NMLCL000096,-0.032768980894810444,-0.0442636477382039,0.01612825831916051,-0.061381686279055526,0.15580085881083214,0.7909553981103519,0.6695758285975605,-0.3158356932911388,-0.18222121675656586,-0.12059078332792827,-0.12059078332792827,0.01989042640884741,-0.01626779827660343,-0.10750897784154732,-0.3122033166719503,0.80711342949979,0.6925443890402604,-0.2330916345539769,-0.2124541157092648,-0.1720165140865197,-0.17146165315955056,-0.08215666144948036,-0.07691557341698646,-0.2685392454808207,-1.211422443837708,-0.05759756614108345,-0.04619894787006154,-0.11951544606706174,-0.019124855010870672,-0.15436027506944197,-0.1761449941738876,-0.03272649459844852,-0.07512346190369236,0.736021901828291,-0.14646161143168032,-0.008352130857335658,-0.1334655442390139,-0.49726009825769196
NMLCL000097,-0.03338793619735779,-0.044233944138035795,0.007808311102594263,-0.061381686279055526,0.20386309401765193,0.9435842911661422,0.9217753307411315,-0.3207644315624667,-0.2337423397246148,-0.12059078332792827,-0.12059078332792827,-0.00827137586469684,-0.046399884369626436,-0.14427082204960157,-0.3835650702911829,0.9558545296954599,0.9523255201320752,-0.24211401456955,-0.25224032930255896,-0.1720165140865197,-0.17146165315955056,-0.21586706796518448,-0.11633169938538027,-0.34455509818299523,-1.2383168843231012,-0.057599461462477936,-0.035145628744544306,-0.13397655406369008,-0.095012676605166,-0.15436027506944197,-0.1761449941738876,-0.0410177703657332,-0.07481658859385426,0.6097964226518561,-0.14646161143168032,0.7756665127134538,0.018546842683185582,-0.46860015550676665
NMLCL000098,-0.03192014119627563,-0.04420156811552861,-0.02706466738414551,-0.061381686279055526,0.2738307267400581,1.0945438829275642,0.8802473981869825,-0.3257563587859918,-0.23340226630568026,-0.12059078332792827,-0.12059078332792827,-0.016897673019264897,-0.2575064435590003,-0.1369184532079906,-0.4025948712563159,1.125708059332435,0.9181087248983801,-0.24431948524002375,-0.23641403990522722,-0.1720165140865197,-0.17146165315955056,-0.2619842247755264,-0.10844847419170141,-0.36599546689386836,-1.2096702571627516,-0.05759751551434577,-0.04733112974468824,-0.12949065933820533,-0.03445462986014846,-0.15436027506944197,-0.1761449941738876,-0.027349665671526496,-0.07513745808000476,0.6967139111235464,-0.14646161143168032,0.6621425767812176,-0.1334655442390139,-0.4829301268822293
NMLCL000099,-0.027370924695073934,-0.044149841213269286,-0.09398955747291879,-0.061381686279055526,-0.03201947578994422,0.0016361465324416246,0.4625143352641798,-0.2560589445132362,0.2916710925237916,-0.12059078332792827,-0.12059078332792827,0.06640923114252854,-0.28135253008129496,-0.07442331805429854,0.5260594158419636,0.03564725946773696,0.5068781379935507,-0.12377046336528066,0.11034339063633326,-0.1720165140865197,-0.17146165315955056,0.13468505203353062,-0.04144106004543205,0.6621676690137798,-0.9170921623213917,-0.057588376776384724,-0.021704656780121154,0.036310370712959526,0.5053491440878161,-0.15436027506944197,-0.1761449941738876,-0.016486610225346213,-0.07480709350905654,1.1867156869484403,-0.26888466949048273,0.1358352906969838,-0.2348071355204802,-0.5545799837595426
NMLCL000100,-0.032987535636706575,-0.04374765189444505,-0.4203378569410751,-0.061381686279055526,0.4776586125468515,1.1982734631610095,0.4570041176670809,-0.31747860604824957,-0.12355855199096843,-0.12059078332792827,-0.12059078332792827,0.024727576227302466,-0.5178932457801895,-0.12221371552476899,-0.29697947589983953,1.2190004311708122,0.5783193308667801,-0.2395576735651365,-0.19750978671178368,-0.1720165140865197,-0.17146165315955056,-0.07526877884508731,-0.09268202380434397,-0.25976818555363224,-1.1640016199242678,-0.057597301064322384,-0.03533498662660667,-0.13013993357478887,-0.05723184851918041,-0.15436027506944197,-0.1761449941738876,-0.05348934659778755,-0.07463306698257595,0.6261156245689912,-0.14646161143168032,0.3183041330168493,0.018546842683185582,-0.46860015550676665
NMLCL000101,-0.031176042575216497,-0.04414143891617005,-0.09562751126456774,-0.061381686279055526,-0.07335359016657578,0.7259931808443121,0.6111232708499001,-0.2871479089939216,-0.004532855365116212,-0.12059078332792827,-0.12059078332792827,0.052134925374295045,-0.30158688929764127,-0.08912805573752021,0.012254789783501798,0.7561838338832834,0.6591835576745194,-0.17449628878617002,-0.07922909753171753,-0.1720165140865197,-0.17146165315955056,0.07214092456977862,-0.05720751043278956,0.10569264474529638,-1.1091851438128195,-0.05759391013330855,-0.038092242762536255,-0.024603357664684578,0.49735809124085206,-0.15436027506944197,-0.1761449941738876,0.1085870457504649,-0.07532961847307065,1.2260591541790944,-0.26888466949048273,1.0388834005109249,-0.03212395295754756,-0.5689099551350053
