Cell_ID,AP12AHPDepthPercentChangeTest,AP12AmplitudeChangePercentTest,AP12AmplitudeDropTest,AP12HalfWidthChangePercentTest,AP12RateOfChangePeakToTroughPercentChangeTest,AP1AHPDepthTest,AP1AmplitudeTest,AP1DelayMeanStrongStimTest,AP1DelayMeanTest,AP1DelaySDStrongStimTest,AP1DelaySDTest,AP1RateOfChangePeakToTroughTest,AP1SSAmplitudeChangeTest,AP1WidthHalfHeightTest,AP1WidthPeakToTroughTest,AP2AHPDepthTest,AP2AmplitudeTest,AP2DelayMeanStrongStimTest,AP2DelayMeanTest,AP2DelaySDStrongStimTest,AP2DelaySDTest,AP2RateOfChangePeakToTroughTest,AP2WidthHalfHeightTest,AP2WidthPeakToTroughTest,AccommodationAtSSMeanTest,AccommodationRateMeanAtSSTest,AccommodationRateToSSTest,Burst1ISIMeanStrongStimTest,Burst1ISIMeanTest,Burst1ISISDStrongStimTest,Burst1ISISDTest,ISIBurstMeanChangeTest,ISICVTest,ISIMedianTest,InitialAccommodationMeanTest,InputResistanceTest,SSAccommodationMeanTest,SpikeRateStrongStimTest
NMLCL000090,-0.03662455352058686,-0.48476944847870834,0.6009553196838028,-0.5715664249103932,0.07353790214455753,1.3410092791414516,0.8504850732027348,-0.6172841068331764,-0.7194895395651879,0.0,0.0,0.04202988061640627,0.05479888758242736,-0.30981336029114814,-0.2687379124848732,1.5555378566053104,0.7051470268573942,-0.10600240062080209,-0.28131306629193037,-0.05353490891506066,-0.06332102210917584,-0.0065603255821722085,-0.6352844220942164,-0.29878377009282325,-0.9469408383223638,-0.12771872784110522,-0.6147681494098665,0.0889703435891694,1.6893708201477675,-0.071907098515791,3.0979506146666655,5.867619303617615,-0.09177879512675675,1.357884473818819,-0.318752924711187,1.6713074692274759,-0.2856449071220612,-0.8099645404728244
NMLCL000091,-0.03987233605255417,-0.28474381589384945,0.3751381746155758,0.27099138189087324,0.0746329917503709,1.2954908501818487,0.8409423828759496,-0.6011561784454059,-0.6996977096149377,0.0,0.0,0.04513401601697305,0.00642406269989314,-0.33842170478258543,-0.23814653103138142,1.4251554457830544,0.7466429623825174,-0.10186627585156824,-0.27653713967208887,-0.05353490891506066,-0.06332102210917584,0.007591209473608744,-0.6352844220942159,-0.2689998953236737,-0.9437101914747943,-0.12771872784110522,-0.6423261524003632,0.09026291268773806,1.613709169376198,-0.071907098515791,3.0979506146666655,5.630094878892293,-0.09176293881915529,1.3428512514150412,-0.318752924711187,1.5651439241798177,-0.2856449071220612,-0.8099645404728244
NMLCL000093,-0.04524051182292284,0.5929379389787737,-0.6121508880142442,-0.15986204204159685,0.31273875413047153,0.2922144213092193,0.051292050053885346,-0.2777016146685738,-0.2326743674018645,0.0,0.0,0.051631189273536805,-0.5898358865278515,-0.18107581007967835,-0.24834365818255086,0.22630122224029198,0.20896872794214907,-0.004946811664413932,-0.020113297701407917,-0.05353490891506066,-0.06332102210917584,0.030938087588117155,-0.33045327321946777,-0.2852456451977692,-0.8644303265317954,-0.12763160233887358,-0.407825819863997,0.22258967415382427,0.2395959634279975,-0.071907098515791,-0.1260408172990721,0.08492727799819555,-0.09217860333936755,1.0450417773272194,-1.0046683909471457,-0.33981093536544826,-0.9641657198465399,-0.7811304673209204
NMLCL000095,-0.038437090909932414,0.11117153941652791,-0.1510309948017325,0.16516773390746387,-0.48608650943253795,0.20273510962344696,-0.09185317582578639,-0.38074115714595885,-0.45868429651113163,0.0,0.0,0.0723744629619674,-0.19457764832983934,-0.13816329334252206,0.26733962917623366,0.24892883341166724,-0.03212847307682938,-0.05010882265819918,-0.17459281509586885,-0.05353490891506066,-0.06332102210917584,0.13935179142267,-0.20852081366956843,0.3131394751641719,-1.0400126139428751,-0.12764910713901448,0.4352016419485004,0.1279089876835873,0.12420984195099806,-0.071907098515791,-0.1260408172990721,0.3837067258512506,-0.0931579016759328,1.0719409853672082,-0.318752924711187,-0.25956266162549396,-1.642686532571018,-0.7955475038968726
NMLCL000096,-0.04110284254034281,0.13880136266727644,-0.15301018086464946,-0.15986204204159035,0.2085778092581452,0.5041813944888816,0.19988874107230364,-0.5554603813467396,-0.5260403629547162,0.0,0.0,0.042924862195660225,-0.24624042733942128,-0.2382924990625539,-0.32409374559118165,0.5316664478730643,0.24881135464796156,-0.09102292172682289,-0.20854531161145903,-0.05353490891506066,-0.06332102210917584,-0.0068490070272162265,-0.45238573276936717,-0.35429008216260616,-0.9769516720905578,-0.12764620536731228,-0.5518821613890058,0.06214953479384515,-0.03376225871444985,-0.071907098515791,-0.1260408172990721,0.010085010765584393,-0.09232497913508204,0.8290897605418395,-1.0046683909471457,-0.42256899740295334,-0.9641657198465399,-0.7522963941690165
NMLCL000097,-0.04161534951414933,0.20840896045264964,-0.17492704109731017,-0.15986204204159035,0.27333779074974063,0.7348648364785052,0.8710299183176824,-0.6253480710270513,-0.6227649512599557,0.0,0.0,0.019593681965355124,-0.2800056274182587,-0.38133422151974233,-0.43334867935363364,0.77271400996408,0.8989989778819539,-0.11114460979335948,-0.279055355526186,-0.05353490891506066,-0.06332102210917584,-0.11865301395295674,-0.7572168816441158,-0.4598874563441198,-1.0067044861821284,-0.12765625786979273,-0.10644970360296974,0.022564606150152024,-0.15125243054660978,-0.071907098515791,-0.1260408172990721,-0.05493298203724829,-0.09207071552811011,0.6703710504153491,-1.0046683909471457,0.3832358162637895,0.05361549924017786,-0.7234623210171126
NMLCL000098,-0.04039998683597692,0.28427912904555985,-0.2667913493069359,-0.15986204204159035,0.36761352679521764,0.9630252950369259,0.7605177828611583,-0.6961317567289153,-0.6221265051325217,0.0,0.0,0.01244706216884925,-0.5165659235417526,-0.35272587702830416,-0.4624833283569607,1.0479760537279517,0.8133602069897852,-0.11606324465406914,-0.2510076410133096,-0.05353490891506066,-0.06332102210917584,-0.15721458185016715,-0.6962506518691653,-0.4896713311132694,-0.9750132609002593,-0.12764593685063344,-0.5975074210371727,0.034844012586563056,-0.05749594672066037,-0.071907098515791,-0.1260408172990721,0.05224868186817596,-0.09233657583690953,0.7796630233804734,-1.0046683909471457,0.2665572974674042,-0.9641657198465399,-0.7378793575930646
NMLCL000099,-0.03663314749777896,0.40549626726360694,-0.4430885569672491,-0.15986204204159035,-0.04449492737491173,-0.6887964102843563,-0.3511333395297448,0.29215185503246466,0.3636343156152327,0.0,0.0,0.0814642499378813,-0.54328720264725,-0.10955494885108442,0.9592875430050795,-0.7185598801377394,-0.21587943322977848,0.1527848653460504,0.3635238624159157,-0.05353490891506066,-0.06332102210917584,0.17446651708045,-0.17803769878209347,0.938600845316221,-0.6513396128907872,-0.12759746634516175,0.4352016419485004,0.4886973373218753,0.7782328543490797,-0.071907098515791,-0.1260408172990721,0.13743389107366197,-0.0920628482603101,1.3958020970924336,-1.6905838571831044,-0.27437492152039955,-1.642686532571018,-0.8099645404728244
NMLCL000100,-0.04128381009796654,1.3479891698025561,-1.302773105490386,-0.15986204204159035,0.6422551462604308,1.1198022730082158,-0.36579686540336015,-0.5787562779068642,-0.4159084059735085,0.0,0.0,0.04693229087934863,-0.808348326119013,-0.29550918804542914,-0.30078602638851326,1.199164250962922,-0.03707437837446922,-0.10544346484117158,-0.18206062762871064,-0.05353490891506066,-0.06332102210917584,-0.0010895983583419648,-0.5743181923192665,-0.34210576975702683,-0.9244909057573832,-0.12764479943963902,-0.11408054695874313,0.03306673007602928,-0.09275983067314837,-0.071907098515791,-0.1260408172990721,-0.15273178603978887,-0.09191865646873622,0.6908911759516598,-1.0046683909471457,-0.08683566758648502,0.05361549924017786,-0.7234623210171126
NMLCL000101,-0.03978385877160276,0.42518626152851396,-0.4474033444754735,-0.15986204204159035,-0.10018930926296683,0.40599744269457677,0.04433760759926604,-0.1486781875664499,-0.19245226137395188,0.0,0.0,0.06963843008067705,-0.5659612778937426,-0.1667716378339597,0.17265201991544527,0.4491307207237394,0.1653149145345534,0.03965626354974334,0.027559133467538015,-0.05353490891506066,-0.06332102210917584,0.12216928575537399,-0.2999701583319928,0.16557391380796013,-0.8638484683813491,-0.12762681444641996,-0.22519390245188536,0.32195592360637415,0.7658610382607359,-0.071907098515791,-0.1260408172990721,1.1182284385359795,-0.09249579266382701,1.4452734432223602,-1.6905838571831044,0.6537669279470162,-0.2856449071220612,-0.8243815770487765
