,AP12AHPDepthPercentChangeTest,AP12AmplitudeChangePercentTest,AP12AmplitudeDropTest,AP12HalfWidthChangePercentTest,AP12RateOfChangePeakToTroughPercentChangeTest,AP1AHPDepthTest,AP1AmplitudeTest,AP1DelayMeanStrongStimTest,AP1DelayMeanTest,AP1DelaySDStrongStimTest,AP1DelaySDTest,AP1RateOfChangePeakToTroughTest,AP1SSAmplitudeChangeTest,AP1WidthHalfHeightTest,AP1WidthPeakToTroughTest,AP2AHPDepthTest,AP2AmplitudeTest,AP2DelayMeanStrongStimTest,AP2DelayMeanTest,AP2DelaySDStrongStimTest,AP2DelaySDTest,AP2RateOfChangePeakToTroughTest,AP2WidthHalfHeightTest,AP2WidthPeakToTroughTest,AccommodationAtSSMeanTest,AccommodationRateMeanAtSSTest,AccommodationRateToSSTest,Burst1ISIMeanStrongStimTest,Burst1ISIMeanTest,Burst1ISISDStrongStimTest,Burst1ISISDTest,ISIBurstMeanChangeTest,ISICVTest,ISIMedianTest,InitialAccommodationMeanTest,InputResistanceTest,SSAccommodationMeanTest,SpikeRateStrongStimTest
313861539,-0.05428756720317842,-0.046613023248910555,-0.16924857497380041,-0.02086649874006722,-1.3703410888227032,-1.1625039165000957,-1.5267899845846997,-0.20664518389556105,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0787105418953712,-0.4739395719435164,-0.2472039858321533,-0.5538817889290812,-1.181217063206759,-1.5089556403969555,2.66131293660865,2.442761164743241,3.933251553188403,3.6328437763179777,0.1898279564321078,-0.2129012080079451,-0.5112052367993102,1.0825821276633032,-0.057611096359903455,1.5365501158666879,3.065853471076497,2.5925088619976937,5.359893576467855,4.5881577053865,-0.24428299957430621,-0.08399336062946065,-0.639367531052917,26.66418810344605,-0.8739149268110054,22.668392494090913,0.5488278121510822
313861677,-0.034167793595109554,-0.04425492152197793,-0.17024113973331906,-0.041102968845568126,0.3185419495948355,-1.163670399172353,-1.5260117807519924,-0.012655100652263662,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.07902819985373602,-0.475033290418269,-0.039499566056646965,0.3571699322764594,-1.1852586828615468,-1.5079256899215552,0.13577333508271242,-0.02601748674068489,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,0.035420385592935894,-0.5657807207906115,-1.6580980112328032,0.22136917597432892,-0.021704656780121154,0.2114963647292863,-0.03630290058665664,-0.15436027506944197,-0.1761449941738876,-0.058434298292047084,-0.07690428008398877,-0.2422787765779633,-0.5137307856080877,-0.8739149268110054,-0.43749031808341293,-0.7122096688896319
313862167,-0.034167793595109554,-0.043982302785013874,-0.17040917169351313,-0.05251514067781796,0.3185419495948355,-1.1627432726791636,-1.5273659637735217,-0.020142991487550225,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.07898724275473593,-0.4750920947344233,-0.20492786499289095,-0.4154399869077769,-1.1852586828615468,-1.5092703474010918,0.0867517369980976,-0.07393733513260863,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.175455888337971,-0.5657807207906115,-0.25522389364341946,-0.057244010185427345,-0.02457043549326276,0.0861274121380877,-0.1517654600897256,-0.15436027506944197,-0.1761449941738876,-0.06910490889069017,-0.050328268154234114,-0.34736024631394286,0.22080756274472693,-0.8739149268110054,0.09455303614428534,-0.2536505848748268
313862167,-0.034167793595109554,-0.04405588126210173,7.195682029676138,-0.061381686279055526,0.3185419495948355,-1.1669486700883798,0.17387069369037553,-0.1543879204290439,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,6.271246509844415,-0.2177945104657104,-0.5976503311488807,4.59242061584047,-1.5098056262774397,-0.1578800722574889,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,-0.1429461749650545,-0.2739962032589554,-0.41472357760039213,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.25598108561077626,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,0.22080756274472693,-0.8739149268105083,0.17055922960538505,0.6921275259057089
314822529,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1669486700883798,-1.5264487304443328,0.16218873007549153,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,-0.475033290418269,-0.10567088563114453,-0.5976503311488807,-1.1852586828615468,-1.5098056262774397,-0.38326413747985283,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8739149268110052,-0.43749031808341293,-0.7838595257669452
318553131,-0.034167793595109554,-0.044098037207384325,-0.17038181722014384,-0.05069636209294875,0.3185419495948355,-1.1669486700883798,-1.5272052673585967,-0.15558851052077804,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,-0.4748518963147174,-0.21963260267611268,-0.5976503311488807,-1.1813640307694795,-1.509112532485196,-0.1758747079552153,-0.3306613081893417,-0.1720165140865197,-0.17146165315955056,0.1903761222433938,-0.19122233872532848,-0.4673499371634343,0.6918139062033298,-0.05758887155249926,-0.03658832476716392,-0.29074676973328906,-0.49885983034730397,-0.15436027506944197,-0.1761449941738876,-0.05661871306467155,-0.025431126428727316,-0.6229418995580609,0.1978532393587015,-0.8739149268110054,0.15155768124011013,1.4659459801806927
318733871,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1669486700883798,-1.5264270635797,0.158081448182719,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,-0.475033290418269,-0.07993759468550658,-0.5976503311488807,-1.1852586828615468,-1.5098056262774397,-0.38326413747985283,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8739149268110052,-0.43749031808341293,-0.7838595257669452
320207387,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.163791592064686,-1.526570606907661,0.1797868532622198,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.07902532763405756,-0.475033290418269,-0.0762614102647012,0.05459609693090709,-1.1852586828615468,-1.5098056262774397,-0.38326413747985283,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8739149268110054,-0.43749031808341293,-0.7838595257669452
320247631,-0.034167793595109554,-0.04507849490707468,-0.17001449044554195,-0.05460562703908531,0.3185419495948355,-1.162719033667277,-1.526978667411284,-0.14092867361118716,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0788845402046499,-0.475033290418269,-0.21595641825530723,-0.5162979320229538,-1.1852586828615468,-1.5089676380366166,-0.14783014340680808,-0.30324703909396183,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.1892515324269088,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.6136470497704748,-0.5137307856080877,-0.8739149268110054,-0.43749031808341293,-0.7695295543914825
320455763,-0.03802663560650361,-0.043939961015434334,-0.1704521564293943,-0.055470655878230454,0.42705286205490645,-1.1622191126252193,-1.5266482467032338,-0.07938263417178226,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.07887907936766315,-0.47417463423214445,-0.20492786499289095,-0.5015498362749816,-1.1805710165010537,-1.5085264944022114,-0.04625318173147926,-0.20395299741069692,-0.1720165140865197,-0.17146165315955056,0.190113271488029,-0.1774266946363906,-0.4697863426987694,-1.6582386120932948,0.6085340150858184,-0.02980702229191733,-0.12453256516793311,-0.3457795254694119,-0.15436027506944197,-0.1761449941738876,-0.06810410233748394,-0.0835385562455299,-0.48068103067174517,0.037172975656523305,-0.8739149268110052,-0.1841363398797471,-0.2536505848748268
320455763,-0.03802663560650361,-0.043939961015434334,-0.1704521564293943,-0.055470655878230454,0.42705286205490645,-1.1622191126252193,-1.5266482467032338,-0.07938263417178226,0.25018213541421175,-0.12059078332792827,-0.12059078332792827,0.07887907936766315,-0.47417463423214445,-0.20492786499289095,-0.5015498362749816,-1.1805710165010537,-1.5085264944022114,-0.04625318173147926,-0.20395299741069692,-0.1720165140865197,-0.17146165315955056,0.190113271488029,-0.1774266946363906,-0.4697863426987694,-1.6582386120932948,0.6085340150858184,-0.02980702229191733,-0.12453256516793311,-0.3457795254694119,-0.15436027506944197,-0.1761449941738876,-0.06810410233748394,-0.0835385562455299,-0.48068103067174517,0.037172975656523305,-0.8739149268110052,-0.1841363398797471,-0.2536505848748268
320466776,-0.034167793595109554,-0.04426475802772551,-0.17028021655419373,-0.05807432403097486,0.3185419495948355,-1.1669486700883798,-1.5265579679212287,-0.17871566702470273,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,-0.47459889045246595,-0.21411832604490458,-0.5976503311488807,-1.1809629304883078,-1.5084748123129101,-0.20264110200141566,-0.35682613338493163,-0.1720165140865197,-0.17146165315955056,0.18986389279292457,-0.1892515324269088,-0.4941503980520313,-0.090579571715166,-0.057556272465834855,-0.02912688495308697,-0.32149875857510263,-0.5271818611858619,-0.15436027506944197,-0.1761449941738876,-0.0853424553489036,-0.06276490731896206,-0.6130084723041545,0.05757681866632372,-0.8739149268110056,0.018546842683185582,1.3369762378015284
320654829,-0.034167793595109554,-0.04360342008440149,-0.1706280046854393,-0.041138634931506476,0.3185419495948355,-1.1669486700883798,-1.5266175519604004,-0.0683245675373923,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,-0.475033290418269,0.07446215098832118,-0.5976503311488807,-1.1852586828615468,-1.5084535857365893,0.16309109679653183,0.0006863142548148241,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,0.17534763278073387,-0.5657807207906115,-1.6580955078249966,0.10919194978101592,-0.021704656780121154,0.7377626459454477,0.4483789169883732,-0.15436027506944197,-0.1761449941738876,0.08920082668865094,-0.08009517517657688,0.2300556893453364,-0.5137307856080877,-0.8739149268110056,-0.43749031808341293,-0.7408696116405573
320836481,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.163824920254551,-1.5263512292306223,0.5519697816996904,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.07904133979655247,-0.475033290418269,0.06527168993630757,2.4019220459795383,-1.1852586828615468,-1.5098056262774397,-0.38326413747985283,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8739149268110056,-0.43749031808341293,-0.7838595257669452
321704734,-0.034167793595109554,-0.04433697592362457,-0.1703427400498907,-0.07227652662567417,0.8665652732780547,-1.1642036485848672,-1.5274436035690946,1.054448329566371,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.07900581246670238,-0.4748405050125224,-0.19757549615128017,-0.40877955656998793,-1.182484662085215,-1.509365405553203,0.8437294203046979,0.6660274403426819,-0.1720165140865197,-0.17146165315955056,0.19071294500538036,-0.18136830723323,-0.39182136556831354,-0.609448112040392,-0.05760237305229171,0.12924157466314387,-0.17718280326178903,-0.39426945158840354,-0.15436027506944197,-0.1761449941738876,-0.10411801913445573,-0.08359846497620312,-0.5763966975683218,-0.5137307856080877,-0.8739149268110056,1.0488530207114264,-0.02437104286742415
321906005,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1669486700883798,-1.5264965782203197,0.7312368390812004,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,-0.475033290418269,-0.08545187131671475,-0.5976503311488807,-1.1852586828615468,-1.5098056262774397,-0.38326413747985283,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8739149268110054,-0.43749031808341293,-0.7838595257669452
322197295,-0.034167793595109554,-0.044636126303213515,-0.17009264501896731,-0.04618849095193492,0.3185419495948355,-1.1669486700883798,-1.526616649129532,0.6224254633988028,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,-0.47465913453335945,-0.1736802974160449,-0.5976503311488807,-1.1852586828615468,-1.5085790994291854,1.346902541339879,1.157891855559786,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.13406895607115749,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,9.688273609435585,8.69163917676503,-0.15436027506944197,-0.1761449941738876,1.0486823864114518,-0.08085682737564345,5.3671453319665385,-0.5137307856080877,-0.8739149268110052,-0.1334655442390139,-0.7551995830160197
322197295,-0.034167793595109554,-0.044636126303213515,-0.17009264501896731,-0.04618849095193492,0.3185419495948355,-1.1669486700883798,-1.526616649129532,0.6224254633988028,2.1386948490928233,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,-0.47465913453335945,-0.1736802974160449,-0.5976503311488807,-1.1852586828615468,-1.5085790994291854,1.346902541339879,1.157891855559786,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.13406895607115749,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,9.688273609435585,8.69163917676503,-0.15436027506944197,-0.1761449941738876,1.0486823864114518,-0.08085682737564345,5.3671453319665385,-0.5137307856080877,-0.8739149268110052,-0.1334655442390139,-0.7551995830160197
322246422,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1634401325324464,-1.5268468602388872,0.5653974340414482,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0789407510781605,-0.475033290418269,-0.18103266625765574,-0.4777625850685708,-1.1852586828615468,-1.5098056262774397,-0.38326413747985283,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8739149268110054,-0.43749031808341293,-0.7838595257669452
322536988,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1629493010295502,-1.5268089430643483,0.4109320403970696,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.07893908362792777,-0.475033290418269,-0.1571374675224205,-0.46919917463427063,-1.1852586828615468,-1.5098056262774397,-0.38326413747985283,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8739149268110054,-0.43749031808341293,-0.7838595257669452
322723785,-0.034167793595109554,-0.05464680619683556,9.692723031979648,-0.20026831016105273,0.3185419495948355,-0.39131341945232523,0.7516554495428629,-0.09170447985010284,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,-0.005060916907619291,-0.475033290418269,11.011110802884453,-0.41639147695603246,-1.1852586828615468,-1.508882619073308,-0.08570103213290316,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2720253969605358,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.1641087811342207,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,0.22080756274472693,-0.8739149268105229,0.17055922960538505,-0.54025001238408
322762730,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1639097553514208,-1.526456855491665,0.2790566971629453,1.2147153698572808,-0.12059078332792827,-0.12059078332792827,0.07898551879261703,-0.475033290418269,-0.07442331805429847,-0.36453526932604985,-1.1852586828615468,-1.5098056262774397,-0.38326413747985283,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8739149268110054,-0.43749031808341293,-0.7838595257669452
322781822,-0.031344206513212396,-0.04410575338370033,-0.17035837112761906,-0.062136627661769604,-0.2553761746930309,-1.1630704939218834,-1.5261598381266743,1.0644637784895186,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.07903261183867301,-0.475033290418269,0.046890767832280446,0.6778220785388676,-1.1812844230355066,-1.5080493579588403,4.924627087848635,4.65520782557037,-0.1720165140865197,-0.17146165315955056,0.1908670786272138,0.08666134935184781,0.9004481303686971,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,5.213123994742113,0.22080756274472693,-0.8739149268110056,-0.43749031808341293,-0.7695295543914825
323452196,-0.034167793595109554,-0.04405588126210173,-0.17039354049932526,-0.061381686279055526,0.3185419495948355,-1.1669486700883798,-1.526682552769541,-0.14964874901430533,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.0790463308705579,-0.475033290418269,-0.2067659572032937,-0.5976503311488807,-1.1852586828615468,-1.5098056262774397,-0.38326413747985283,-0.5333897056551762,-0.1720165140865197,-0.17146165315955056,0.19092542754301628,-0.2739962032589554,-0.5657807207906115,1.0825821282549994,-0.05761213381145449,-0.021704656780121154,-0.4260319106650335,-0.6234550216754736,-0.15436027506944197,-0.1761449941738876,-0.08351553403670323,-0.08499520000296747,-0.7119879795841596,-0.5137307856080877,-0.8739149268110056,-0.43749031808341293,-0.7838595257669452
323540736,-0.027871829956959523,-0.043685008602274686,-0.17056548130620183,-0.06572259922966142,0.3433717967504873,-1.1625039161389124,-1.5267511646869132,1.2458476657696123,-0.47842516464547175,-0.12059078332792827,-0.12059078332792827,0.07875021704775172,-0.4753331598856984,-0.23249924814893164,-0.5472213585912923,-1.1806261291545745,-1.5086049403638184,0.9568349786665934,0.7765909760240485,-0.1720165140865197,-0.17146165315955056,0.18950941568420543,-0.2129012080079451,-0.5126670801204936,1.0825807462357506,-0.057579438268641085,0.14681021096219413,-0.2576042712022354,-0.468336182908051,-0.15436027506944197,-0.1761449941738876,-0.09479797831424991,-0.08308805550083244,-0.6067291272186487,1.8367919291209196,-0.8739149268110054,1.8730979631340194,-0.010041071491961482
